Station,Timestamp,GPP.mol_m2,GPP_err,fAPAR,PPFD.mol_m2,VPD.kPa,ALPHA,Tc.deg_C,CO2.ppm,Patm.Pa
BE-Bra,2006-04-01,6.0937,0.1660,0.3725,835.2214,0.2862,1.259,9.10,380.93,101139.31
BE-Bra,2006-05-01,8.3761,0.2044,0.4591,994.7844,0.4605,1.260,14.30,380.93,101139.31
BE-Bra,2006-06-01,14.7722,0.2984,0.4476,1266.7679,0.6331,1.223,17.20,380.93,101139.31
BE-Bra,2006-07-01,15.6450,0.4305,0.4704,1479.0360,1.0400,0.532,22.40,380.93,101139.31
BE-Bra,2006-08-01,15.9309,0.7752,0.5031,772.0586,0.3258,1.176,16.60,380.93,101139.31
BE-Bra,2006-09-01,14.0375,0.6290,0.4574,788.3353,0.4573,1.259,18.20,380.93,101139.31
BE-Bra,2006-10-01,8.7669,0.4527,0.4001,462.1910,0.2483,1.260,13.70,380.93,101139.31
BE-Jal,2006-05-01,13.5862,0.5332,0.4651,996.5297,0.4683,1.260,13.70,380.93,95651.13
BE-Jal,2006-06-01,21.9501,0.9639,0.4603,1229.9646,0.6207,1.258,17.10,380.93,95651.13
BE-Jal,2006-07-01,27.2163,1.4894,0.4287,1428.1809,1.0272,0.649,22.20,380.93,95651.13
BE-Jal,2006-08-01,16.6135,0.5653,0.4189,728.3550,0.3160,1.206,15.40,380.93,95651.13
BE-Jal,2006-09-01,11.8410,0.2743,0.4048,768.7004,0.5412,1.259,18.00,380.93,95651.13
BE-Jal,2006-10-01,9.4316,0.2158,0.3625,456.7290,0.3032,1.259,13.60,380.93,95651.13
BE-Jal,2006-11-01,3.0443,0.1517,0.3227,205.7208,0.1615,1.260,8.20,380.93,95651.13
BE-Jal,2006-12-01,2.7199,0.2574,0.2954,150.9450,0.0896,1.259,4.90,380.93,95651.13
BE-Lon,2004-06-01,31.7234,1.2480,0.5375,1126.1142,0.5459,1.134,16.40,376.78,99400.42
BE-Lon,2004-07-01,39.0189,1.0181,0.4924,1143.4738,0.5433,1.009,17.60,376.78,99400.42
BE-Lon,2004-08-01,28.3994,0.6674,0.4571,929.3974,0.5526,1.238,19.20,376.78,99400.42
BE-Lon,2004-09-01,20.0944,0.5271,0.4153,760.5128,0.4531,1.259,15.90,376.78,99400.42
BE-Lon,2005-01-01,1.5346,0.1331,0.2436,208.5718,0.0880,1.259,4.20,378.81,99400.42
BE-Lon,2005-02-01,2.1335,0.1445,0.2502,293.0725,0.0858,1.259,1.80,378.81,99400.42
BE-Lon,2005-04-01,24.1803,0.6291,0.3742,773.6615,0.3301,1.260,10.50,378.81,99400.42
BE-Lon,2005-05-01,42.4814,1.0622,0.4798,1215.1439,0.4679,1.260,13.40,378.81,99400.42
BE-Lon,2005-06-01,41.0502,1.2740,0.4907,1439.2485,0.7672,1.096,18.50,378.81,99400.42
BE-Lon,2005-10-01,2.1636,0.0647,0.3894,492.4298,0.3543,1.259,14.00,378.81,99400.42
BE-Lon,2005-11-01,1.3877,0.1167,0.3575,200.8326,0.0690,1.259,5.90,378.81,99400.42
BE-Lon,2006-11-01,2.8618,0.0451,0.3315,232.7230,0.1507,1.259,8.90,380.93,99400.42
BE-Lon,2006-12-01,2.9589,0.0721,0.3144,123.4222,0.0893,1.259,5.70,380.93,99400.42
BE-Vie,2002-02-01,3.1654,0.2309,0.3416,234.9496,0.1262,1.259,5.70,372.42,96206.66
BE-Vie,2002-03-01,8.7890,0.4756,0.3541,573.5420,0.1816,1.259,6.50,372.42,96206.66
BE-Vie,2002-04-01,12.1070,0.8685,0.4215,808.3143,0.3869,1.259,8.80,372.42,96206.66
BE-Vie,2002-05-01,19.1951,0.7797,0.5446,969.9218,0.3839,1.259,12.70,372.42,96206.66
BE-Vie,2002-06-01,26.8972,0.9074,0.5551,1100.1518,0.5422,1.260,16.90,372.42,96206.66
BE-Vie,2002-07-01,24.8144,0.8508,0.5418,951.8851,0.5593,1.259,17.20,372.42,96206.66
BE-Vie,2002-08-01,23.2169,1.2297,0.5264,811.4325,0.4253,1.259,17.80,372.42,96206.66
BE-Vie,2002-09-01,18.5536,0.9788,0.5031,688.7620,0.3529,1.259,13.40,372.42,96206.66
BE-Vie,2002-10-01,7.3454,0.3665,0.4331,324.7872,0.2458,1.260,9.60,372.42,96206.66
BE-Vie,2002-11-01,3.7596,0.2625,0.3589,137.2333,0.1336,1.260,7.40,372.42,96206.66
BE-Vie,2003-03-01,8.9074,0.5212,0.3099,666.6012,0.3378,1.260,7.60,374.97,96206.66
BE-Vie,2003-04-01,11.9512,0.6757,0.3404,926.5649,0.4838,1.259,9.40,374.97,96206.66
